run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,elapsed_seconds
87,FOGAS,8000,0.3,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.22530647709657,13.48327391082421
88,FOGAS,12000,0.3,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.384537037843617,15.20431928220205
89,FOGAS,16000,0.3,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.3569358014377686,18.575370664941147
90,FOGAS,20000,0.3,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.359651157317678,22.04223865014501
91,FOGAS,4000,0.5,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.9356363952680047,13.085501764900982
92,FOGAS,8000,0.5,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),4.104624249303393,13.396057907957584
93,FOGAS,12000,0.5,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),4.234825301256229,15.177053303224966
94,FOGAS,16000,0.5,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),4.4456406465954235,18.562325339065865
95,FOGAS,20000,0.5,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),4.358479031143853,22.027047700015828
96,FOGAS,4000,0.7,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),69886.47937037214,13.119670344050974
97,FOGAS,8000,0.7,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),33.36990008632151,13.441712310072035
98,FOGAS,12000,0.7,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),46.15673009408634,15.154362119967118
99,FOGAS,16000,0.7,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),60.09412649212052,18.554803353967145
100,FOGAS,20000,0.7,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),27.212222777690634,22.04039548896253
101,FOGAS,4000,0.0,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),4.092338996041775,13.122184805804864
102,FOGAS,8000,0.0,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.943464858548052,13.53766198293306
103,FOGAS,12000,0.0,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),4.032863580054615,15.022191612049937
104,FOGAS,16000,0.0,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),4.079682281201471,18.51021686499007
105,FOGAS,20000,0.0,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),4.119385247885736,21.986283286940306
106,FOGAS,4000,0.1,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),4.183042981671216,13.098910100990906
107,FOGAS,8000,0.1,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),4.586243314721895,13.55692539201118
108,FOGAS,12000,0.1,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),4.742601376728537,15.048641450004652
109,FOGAS,16000,0.1,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),4.7431069410544495,18.53824171097949
110,FOGAS,20000,0.1,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),5.017096558765356,22.001963371876627
111,FOGAS,4000,0.3,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),5.775839948956106,13.122471323003992
112,FOGAS,8000,0.3,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),5.267724760336867,13.547958809882402
113,FOGAS,12000,0.3,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),5.567252853587865,15.045467439107597
114,FOGAS,16000,0.3,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),5.43068909308468,18.523573621874675
115,FOGAS,20000,0.3,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),5.68388268394214,21.994211451150477
116,FOGAS,4000,0.5,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),13.470434839331979,13.2651754419785
117,FOGAS,8000,0.5,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),8.16237711027685,13.4656501498539
118,FOGAS,12000,0.5,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),7.964050356294695,15.020512878894806
119,FOGAS,16000,0.5,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),7.203195451784563,18.5506758489646
120,FOGAS,20000,0.5,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),7.671327303194365,21.994377054972574
121,FOGAS,4000,0.7,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),66589.38218360233,13.277463593985885
122,FOGAS,8000,0.7,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),65390.77835749201,13.442614765139297
