n_centers,ridge,sigma_mult,base_sigma,sigma,feature_dim,converged,status,error,elapsed_seconds
81,0.01,0.05,0.11398930798598916,0.005699465399299459,328,False,ok,,0.3334816440474242
81,0.01,0.1,0.11398930798598916,0.011398930798598918,328,False,ok,,0.33466871990822256
81,0.01,0.2,0.11398930798598916,0.022797861597197835,328,False,ok,,0.3328451260458678
81,0.01,0.4,0.11398930798598916,0.04559572319439567,328,False,ok,,0.33183569903485477
81,0.01,0.6,0.11398930798598916,0.06839358479159349,328,False,ok,,0.33509608916938305
81,0.01,0.8,0.11398930798598916,0.09119144638879134,328,False,ok,,0.3314888710156083
81,0.01,1.0,0.11398930798598916,0.11398930798598916,328,False,ok,,0.33117504115216434
81,0.1,0.05,0.11398930798598916,0.005699465399299459,328,False,ok,,0.33336252393200994
81,0.1,0.1,0.11398930798598916,0.011398930798598918,328,False,ok,,0.33640080504119396
81,0.1,0.2,0.11398930798598916,0.022797861597197835,328,False,ok,,0.33132350095547736
81,0.1,0.4,0.11398930798598916,0.04559572319439567,328,False,ok,,0.33409070200286806
81,0.1,0.6,0.11398930798598916,0.06839358479159349,328,False,ok,,0.3322747580241412
81,0.1,0.8,0.11398930798598916,0.09119144638879134,328,False,ok,,0.33088088198564947
81,0.1,1.0,0.11398930798598916,0.11398930798598916,328,False,ok,,0.34122340101748705
81,1.0,0.05,0.11398930798598916,0.005699465399299459,328,False,ok,,0.3364913850091398
81,1.0,0.1,0.11398930798598916,0.011398930798598918,328,False,ok,,0.3333981838077307
81,1.0,0.2,0.11398930798598916,0.022797861597197835,328,False,ok,,0.33669948391616344
81,1.0,0.4,0.11398930798598916,0.04559572319439567,328,False,ok,,0.33260041708126664
81,1.0,0.6,0.11398930798598916,0.06839358479159349,328,False,ok,,0.33154100994579494
81,1.0,0.8,0.11398930798598916,0.09119144638879134,328,False,ok,,0.33403118303976953
81,1.0,1.0,0.11398930798598916,0.11398930798598916,328,False,ok,,0.33101429184898734
81,10.0,0.05,0.11398930798598916,0.005699465399299459,328,False,ok,,0.3328478659968823
81,10.0,0.1,0.11398930798598916,0.011398930798598918,328,False,ok,,0.33834223891608417
81,10.0,0.2,0.11398930798598916,0.022797861597197835,328,False,ok,,0.33269682712852955
81,10.0,0.4,0.11398930798598916,0.04559572319439567,328,False,ok,,0.3327966060023755
81,10.0,0.6,0.11398930798598916,0.06839358479159349,328,False,ok,,0.34270532592199743
81,10.0,0.8,0.11398930798598916,0.09119144638879134,328,False,ok,,0.3319338390138
81,10.0,1.0,0.11398930798598916,0.11398930798598916,328,False,ok,,0.3382925698533654
80,1e-06,0.05,0.1139815130623217,0.005699075653116085,324,False,ok,,0.3351627190131694
80,1e-06,0.1,0.1139815130623217,0.01139815130623217,324,True,ok,,0.3284939599689096
79,1e-06,0.05,0.11294750776382129,0.005647375388191065,320,False,ok,,0.3320402179379016
79,1e-06,0.1,0.11294750776382129,0.01129475077638213,320,False,ok,,0.33258111611939967
79,1e-06,0.2,0.11294750776382129,0.02258950155276426,320,False,ok,,0.3321359590627253
79,1e-06,0.4,0.11294750776382129,0.04517900310552852,320,False,ok,,0.33088189107365906
79,1e-06,0.6,0.11305817953052134,0.0678349077183128,320,False,ok,,0.33266503689810634
79,1e-06,0.8,0.11294750776382129,0.09035800621105704,320,False,ok,,0.33012990397401154
79,1e-06,1.0,0.11294750776382129,0.11294750776382129,320,False,ok,,0.5084973759949207
79,0.0001,0.05,0.11294750776382129,0.005647375388191065,320,False,ok,,0.3318737889640033
79,0.0001,0.1,0.11294750776382129,0.01129475077638213,320,False,ok,,0.33078038203530014
79,0.0001,0.2,0.11294750776382129,0.02258950155276426,320,False,ok,,0.331444940995425
79,0.0001,0.4,0.11294750776382129,0.04517900310552852,320,False,ok,,0.33013887400738895
79,0.0001,0.6,0.11294750776382129,0.06776850465829277,320,False,ok,,0.33032423397526145
79,0.0001,0.8,0.11294750776382129,0.09035800621105704,320,False,ok,,0.33113486086949706
79,0.0001,1.0,0.11294750776382129,0.11294750776382129,320,False,ok,,0.3304836340248585
79,0.01,0.05,0.11294750776382129,0.005647375388191065,320,False,ok,,0.3310875620227307
79,0.01,0.1,0.11305817953052134,0.011305817953052135,320,True,ok,,0.32923392695374787
78,1e-06,0.05,0.11395988253437185,0.005697994126718593,316,False,ok,,0.3322551080491394
78,1e-06,0.1,0.11395988253437185,0.011395988253437185,316,False,ok,,0.3298191549256444
78,1e-06,0.2,0.11395988253437185,0.02279197650687437,316,True,ok,,0.33097663102671504
77,1e-06,0.05,0.11409334690457673,0.005704667345228837,312,False,ok,,0.3313335601706058
77,1e-06,0.1,0.11409334690457673,0.011409334690457674,312,True,ok,,0.3262125269975513
76,1e-06,0.05,0.114178663043547,0.00570893315217735,308,False,ok,,0.329342617187649
76,1e-06,0.1,0.114178663043547,0.0114178663043547,308,True,ok,,0.3241321328096092
75,1e-06,0.05,0.11413050951950034,0.005706525475975017,304,False,ok,,0.32714091311208904
75,1e-06,0.1,0.11459842889685735,0.011459842889685736,304,False,ok,,0.32792753097601235
75,1e-06,0.2,0.11413050951950034,0.022826101903900067,304,True,ok,,0.3216320800129324
74,1e-06,0.05,0.11368804731311707,0.005684402365655854,300,False,ok,,0.3266126150265336
74,1e-06,0.1,0.11368804731311707,0.011368804731311709,300,False,ok,,0.32740880199708045
74,1e-06,0.2,0.11368804731311707,0.022737609462623418,300,False,ok,,0.3250493200030178
74,1e-06,0.4,0.11368804731311707,0.045475218925246835,300,False,ok,,0.32522042910568416
