ablation,policy_optimizer,policy_gradient,alpha,reinforce_samples,fisher_damping,cg_iters,cg_tol,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_return_best,solver_avg_return_mean,solver_avg_return_std,solver_avg_return_sem,solver_avg_return_ci95,greedy_avg_return_best,greedy_avg_return_mean,greedy_avg_return_std,greedy_avg_return_sem,greedy_avg_return_ci95
npg_exact_alpha_fisher,npg,exact,0.0001,4,1e-05,50,1e-10,5,5,5,0,3841.729960554419,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,1.0,1.0,0.0,0.0,0.0,-1.0103454058389607,-1.0103454058389607,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0003,4,3e-05,50,1e-10,5,5,5,0,3406.8085699585267,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,1.0,1.0,0.0,0.0,0.0,-1.0974443266590717,-1.0974443266590717,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0003,4,0.01,50,1e-10,5,5,5,0,2647.2306850672235,0.1,0.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0474276575249264,-1.0474276575249264,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0001,4,3e-05,50,1e-10,5,5,5,0,3469.20094093997,0.07,0.07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0111450702472224,-1.0111450702472224,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0001,4,0.003,50,1e-10,5,5,5,0,3202.3696139965673,0.07,0.07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0187218555631965,-1.0187218555631965,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0001,4,0.01,50,1e-10,5,5,5,0,2689.228557921853,0.06,0.06,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0182325219585642,-1.0182325219585642,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0001,4,1e-06,50,1e-10,5,5,5,0,3281.769501913013,0.05,0.05,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0274573955420276,-1.0274573955420276,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0001,4,0.0003,50,1e-10,5,5,5,0,3727.4029451032634,0.02,0.02,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.021565367589294,-1.021565367589294,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.003,4,1e-05,50,1e-10,5,5,5,0,3941.774810764566,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0334269961555422,-1.0334269961555422,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,0.001,4,0.0003,50,1e-10,5,5,5,0,3331.031702566007,0.43,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0394844592709593,-1.0394844592709593,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
