ablation,policy_optimizer,policy_gradient,alpha,reinforce_samples,fisher_damping,cg_iters,cg_tol,checkpoint_step,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_return_best,solver_avg_return_mean,solver_avg_return_std,solver_avg_return_sem,solver_avg_return_ci95,greedy_avg_return_best,greedy_avg_return_mean,greedy_avg_return_std,greedy_avg_return_sem,greedy_avg_return_ci95
adam_reinforce_samples,adam,reinforce,0.001,4,0.001,50,1e-10,3000,5,5,5,0,,0.71,0.6319999999999999,0.08671793355471519,0.03878143885933063,0.07601162016428803,1.0,1.0,0.0,0.0,0.0,-1.1913308497762218,-1.3052511114412073,0.10643029300081511,0.04759707400300853,0.09329026504589671,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,8,0.001,50,1e-10,3000,5,5,5,0,,0.69,0.5959999999999999,0.08294576541331086,0.0370944739819828,0.0727051690046863,1.0,1.0,0.0,0.0,0.0,-1.2255697430697143,-1.341923871414792,0.11781710373862354,0.05268941057434137,0.10327124472570909,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,16,0.001,50,1e-10,3000,5,5,5,0,,0.67,0.6060000000000001,0.0568330889535313,0.025416530054277672,0.049816398906384236,1.0,1.0,0.0,0.0,0.0,-1.3135222541582474,-1.3426239729283918,0.0341042754271258,0.015251895635685794,0.029893715445944154,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,32,0.001,50,1e-10,3000,5,5,5,0,,0.7,0.63,0.05916079783099614,0.026457513110645897,0.05185672569686596,1.0,1.0,0.0,0.0,0.0,-1.170618576663013,-1.3075514824757741,0.07926062927088143,0.03544643099782009,0.06947500475572738,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,1,0.001,50,1e-10,3500,5,5,5,0,,0.67,0.606,0.043358966777357635,0.019390719429665332,0.03800581008214405,1.0,1.0,0.0,0.0,0.0,-1.2820102083482277,-1.3287421361847096,0.03779352109826206,0.016901776456957295,0.0331274818556363,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,2,0.001,50,1e-10,3500,5,5,5,0,,0.74,0.654,0.06228964600958974,0.027856776554368235,0.05459928204656174,1.0,1.0,0.0,0.0,0.0,-1.2266834618299491,-1.3007096475356708,0.07316012501829375,0.03271820255665757,0.06412767701104884,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,4,0.001,50,1e-10,3500,5,5,5,0,,0.71,0.64,0.05431390245600109,0.024289915602982243,0.047608234581845196,1.0,1.0,0.0,0.0,0.0,-1.2320152056179847,-1.3120719572630684,0.07319648324656895,0.03273446245065054,0.06415954640327505,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,8,0.001,50,1e-10,3500,5,5,5,0,,0.72,0.642,0.04494441010848846,0.020099751242241778,0.03939551243479388,1.0,1.0,0.0,0.0,0.0,-1.2361377054862823,-1.3056930123087624,0.05098735729530006,0.022802239381072148,0.04469238918690141,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,16,0.001,50,1e-10,3500,5,5,5,0,,0.7,0.632,0.05540758070878025,0.02477902338672772,0.04856688583798633,1.0,1.0,0.0,0.0,0.0,-1.2270652549528223,-1.317235815442836,0.059031409786132555,0.02639964901788774,0.05174331207505997,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,32,0.001,50,1e-10,3500,5,5,5,0,,0.66,0.628,0.027748873851023242,0.012409673645990868,0.024322960346142102,1.0,1.0,0.0,0.0,0.0,-1.3044439834295622,-1.3271745736642147,0.030138430224783106,0.013478315743549858,0.02641749885735772,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,1,0.001,50,1e-10,4000,5,5,5,0,,0.78,0.7260000000000001,0.0403732584763727,0.018055470085267786,0.03538872136712486,1.0,1.0,0.0,0.0,0.0,-1.1318328983460662,-1.1911229153058482,0.03836143928938606,0.01715575719315969,0.03362528409859299,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,2,0.001,50,1e-10,4000,5,5,5,0,,0.78,0.746,0.03209361307176246,0.014352700094407337,0.02813129218503838,1.0,1.0,0.0,0.0,0.0,-1.1410204182905586,-1.2013389982229827,0.04543388100871154,0.020318649283423144,0.03982455259550936,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
