alpha,eta,rho,D_theta,T,beta,seed,device,status,error,elapsed_seconds,greedy_avg_reward,greedy_goal_count,greedy_success_rate,reached_goal,final_state,path_length,run_idx
0.0005,0.0002,0.0005,10.0,20000,1e-07,42,cuda,ok,,11.724055559840053,-0.5217031000000001,0,0.0,False,32,7,149
0.0005,0.0002,0.001,10.0,20000,1e-07,42,cuda,ok,,11.72231497685425,-0.5217031000000001,0,0.0,False,32,7,157
0.0005,0.0002,0.003,10.0,20000,1e-07,42,cuda,ok,,11.874549177940935,-0.5217031000000001,0,0.0,False,32,7,165
0.0005,0.0005,0.0005,10.0,20000,1e-07,42,cuda,ok,,11.751429514959455,-0.5217031000000001,0,0.0,False,32,7,173
0.0005,0.0005,0.001,10.0,20000,1e-07,42,cuda,ok,,11.741908953059465,-0.5217031000000001,0,0.0,False,32,7,181
0.0005,0.0005,0.003,10.0,20000,1e-07,42,cuda,ok,,11.795808144845068,-0.5217031000000001,0,0.0,False,32,7,189
0.0005,0.001,0.0005,10.0,20000,1e-07,42,cuda,ok,,11.774545858846977,-0.5217031000000001,0,0.0,False,32,7,197
0.0005,0.001,0.001,10.0,20000,1e-07,42,cuda,ok,,11.63105788314715,-0.5217031000000001,0,0.0,False,32,7,205
0.0005,0.001,0.003,10.0,20000,1e-07,42,cuda,ok,,11.747185695916414,-0.5217031000000001,0,0.0,False,32,7,213
0.0005,0.002,0.0005,10.0,20000,1e-07,42,cuda,ok,,11.828314275015146,-0.5217031000000001,0,0.0,False,32,7,221
0.0005,0.002,0.001,10.0,20000,1e-07,42,cuda,ok,,11.73841434600763,-0.5217031000000001,0,0.0,False,32,7,229
0.0005,0.002,0.003,10.0,20000,1e-07,42,cuda,ok,,11.713988283183426,-0.5217031000000001,0,0.0,False,32,7,237
0.001,0.0001,0.0005,10.0,20000,1e-07,42,cuda,ok,,11.809349766932428,-0.5217031000000001,0,0.0,False,32,7,245
0.001,0.0001,0.001,10.0,20000,1e-07,42,cuda,ok,,11.687056578928605,-0.5217031000000001,0,0.0,False,32,7,253
0.001,0.0001,0.003,10.0,20000,1e-07,42,cuda,ok,,11.696674985112622,-0.5217031000000001,0,0.0,False,32,7,261
