problem,ablation,policy_optimizer,policy_gradient,alpha,eta,rho,T,theta_lambda,theta_lr,theta_inner_steps,reinforce_samples,fisher_damping,cg_iters,cg_tol,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,0.003,50,1e-10,1,1,0,325.24477375199785,0.94,0.94,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8194,0.8194,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,0.01,50,1e-10,1,1,0,277.50456794095226,0.75,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5981,0.5981,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,1e-05,50,1e-10,1,1,0,427.3520227850531,0.43,0.43,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2536999999999999,0.2536999999999999,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,1e-06,50,1e-10,1,1,0,423.8996983919642,0.42,0.42,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.24319999999999997,0.24319999999999997,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,3e-06,50,1e-10,1,1,0,378.7016277970397,0.41,0.41,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.23259999999999995,0.23259999999999995,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,3e-05,50,1e-10,1,1,0,456.6534619369777,0.4,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.22229999999999997,0.22229999999999997,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,0.0001,50,1e-10,1,1,0,409.8066194890416,0.4,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2219,0.2219,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,0.0003,50,1e-10,1,1,0,366.8819220669684,0.37,0.37,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.18979999999999997,0.18979999999999997,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,1,1,0,359.3955859760172,0.36,0.36,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.17839999999999998,0.17839999999999998,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,0.003,50,1e-10,1,1,0,313.7182070230483,0.21,0.21,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.019999999999999973,0.019999999999999973,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
