run_idx,stage,metric,alpha,rho,eta,T,D_theta,state_weight_update,c_min,D_pi,per_run_metric_1
186,grid,0.8010638064134422,0.001,0.001,0.0001,2000,1.0,clipped,0.2,2.0,0.8010638064134422
187,grid,0.8010638064134422,0.001,0.001,0.0001,2000,2.0,clipped,0.0,4.0,0.8010638064134422
188,grid,0.8010638064134422,0.001,0.001,0.0001,2000,2.0,clipped,0.1,4.0,0.8010638064134422
189,grid,0.7701747508724991,0.001,0.001,0.0001,2000,2.0,clipped,0.2,4.0,0.7701747508724991
190,grid,0.8010638064134422,0.001,0.01,0.0001,2000,0.5,clipped,0.0,1.0,0.8010638064134422
191,grid,0.8010638064134422,0.001,0.01,0.0001,2000,0.5,clipped,0.1,1.0,0.8010638064134422
192,grid,0.8010638064134422,0.001,0.01,0.0001,2000,0.5,clipped,0.2,1.0,0.8010638064134422
193,grid,0.8010638064134422,0.001,0.01,0.0001,2000,1.0,clipped,0.0,2.0,0.8010638064134422
194,grid,0.8010638064134422,0.001,0.01,0.0001,2000,1.0,clipped,0.1,2.0,0.8010638064134422
195,grid,0.8010638064134422,0.001,0.01,0.0001,2000,1.0,clipped,0.2,2.0,0.8010638064134422
196,grid,0.8010638064134422,0.001,0.01,0.0001,2000,2.0,clipped,0.0,4.0,0.8010638064134422
197,grid,0.8010638064134422,0.001,0.01,0.0001,2000,2.0,clipped,0.1,4.0,0.8010638064134422
198,grid,0.7701747508724991,0.001,0.01,0.0001,2000,2.0,clipped,0.2,4.0,0.7701747508724991
199,grid,0.8010638064134422,0.001,0.1,0.0001,2000,0.5,clipped,0.0,1.0,0.8010638064134422
200,grid,0.8010638064134422,0.001,0.1,0.0001,2000,0.5,clipped,0.1,1.0,0.8010638064134422
201,grid,0.8010638064134422,0.001,0.1,0.0001,2000,0.5,clipped,0.2,1.0,0.8010638064134422
202,grid,0.8010638064134422,0.001,0.1,0.0001,2000,1.0,clipped,0.0,2.0,0.8010638064134422
203,grid,0.8010638064134422,0.001,0.1,0.0001,2000,1.0,clipped,0.1,2.0,0.8010638064134422
204,grid,0.8010638064134422,0.001,0.1,0.0001,2000,1.0,clipped,0.2,2.0,0.8010638064134422
205,grid,0.8010638064134422,0.001,0.1,0.0001,2000,2.0,clipped,0.0,4.0,0.8010638064134422
206,grid,0.8010638064134422,0.001,0.1,0.0001,2000,2.0,clipped,0.1,4.0,0.8010638064134422
207,grid,0.7701747508724991,0.001,0.1,0.0001,2000,2.0,clipped,0.2,4.0,0.7701747508724991
208,grid,0.8010638064134422,0.001,0.5,0.0001,2000,0.5,clipped,0.0,1.0,0.8010638064134422
209,grid,0.8010638064134422,0.001,0.5,0.0001,2000,0.5,clipped,0.1,1.0,0.8010638064134422
210,grid,0.8010638064134422,0.001,0.5,0.0001,2000,0.5,clipped,0.2,1.0,0.8010638064134422
211,grid,0.8010638064134422,0.001,0.5,0.0001,2000,1.0,clipped,0.0,2.0,0.8010638064134422
