problem,ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,rho,T,checkpoint_step,count,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1460,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1480,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1500,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1520,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1540,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1560,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1580,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1600,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1620,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1640,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1660,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1680,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1700,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1720,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1740,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1760,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1780,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1800,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1820,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1840,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1860,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
