run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds
14,FQI,16000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8174392737254355,0.15683802019468385,0.10852921558982556,-0.9948462247926807,0.0,-1.0000000000000002,0.14180700991444012,0.15683802019468385,0.10852921558982556,-0.9948462247926807,0.0,-1.0000000000000002,0.14180700991444012,16.630653543164954
15,FQI,20000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8118587206235357,0.15725075074713374,0.10852921558982556,-0.9948462247926807,0.0,-1.0000000000000002,0.14180700991444012,0.15725075074713374,0.10852921558982556,-0.9948462247926807,0.0,-1.0000000000000002,0.14180700991444012,18.15474822698161
16,FQI,4000,0.5,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,2.3919420036736225,0.16841051895367218,0.10852921558982553,-0.9948462247926807,0.0,-1.0000000000000002,0.14180700991444012,0.16841051895367218,0.10852921558982553,-0.9948462247926807,0.0,-1.0000000000000002,0.14180700991444012,12.637927575968206
17,FQI,8000,0.5,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,2.4305859087854067,0.16831008592338564,0.10852921558982553,-0.9948462247926807,0.0,-1.0000000000000002,0.14180700991444012,0.16831008592338564,0.10852921558982553,-0.9948462247926807,0.0,-1.0000000000000002,0.14180700991444012,13.906520627904683
18,FQI,12000,0.5,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,2.4536641856344126,0.169322484019496,0.10852921558982553,-0.9948462247926807,0.0,-1.0000000000000002,0.14180700991444012,0.169322484019496,0.10852921558982553,-0.9948462247926807,0.0,-1.0000000000000002,0.14180700991444012,15.254024707013741
19,FQI,16000,0.5,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,2.423485578823807,0.1511774512912541,0.0950349597795928,-0.9948462247926807,0.0,-1.0000000000000002,0.12408113367513512,0.1511774512912541,0.0950349597795928,-0.9948462247926807,0.0,-1.0000000000000002,0.12408113367513512,16.742883910192177
20,FQI,20000,0.5,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,2.424028026173503,0.15138932030126537,0.0950349597795928,-0.9948462247926807,0.0,-1.0000000000000002,0.12408113367513512,0.15138932030126537,0.0950349597795928,-0.9948462247926807,0.0,-1.0000000000000002,0.12408113367513512,18.022776232101023
21,FQI,4000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,801.2916400336106,0.37626180293544015,0.2952008367867532,-0.9948462247926807,0.0,-1.0000000000000002,0.29307786515304524,0.37626180293544015,0.2952008367867532,-0.9948462247926807,0.0,-1.0000000000000002,0.29307786515304524,12.62666764180176
22,FQI,8000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,20.53397078184585,0.17960003054688417,0.0950349597795928,-0.9948462247926807,0.0,-1.0000000000000002,0.12408113367513512,0.17960003054688417,0.0950349597795928,-0.9948462247926807,0.0,-1.0000000000000002,0.12408113367513512,13.961801262106746
23,FQI,12000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,14.153328932008606,0.1792149182444782,0.0950349597795928,-0.9948462247926807,0.0,-1.0000000000000002,0.12408113367513512,0.1792149182444782,0.0950349597795928,-0.9948462247926807,0.0,-1.0000000000000002,0.12408113367513512,15.178437525872141
